Day,Month,Year,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
8,9,2020,11.65,HSG,11.6,11.7,11.45,7023450
7,9,2020,11.55,HSG,11.85,11.9,11.55,9695350
4,9,2020,11.85,HSG,11.75,11.95,11.7,7657200
3,9,2020,11.95,HSG,12,12.2,11.85,14906190
1,9,2020,11.8,HSG,11.3,11.8,11.3,14900500
31,8,2020,11.3,HSG,11.5,11.6,11.25,7008810
28,8,2020,11.4,HSG,11.75,11.75,11.4,8851480
27,8,2020,11.65,HSG,11.6,11.75,11.5,5311350
26,8,2020,11.6,HSG,11.7,11.75,11.6,7253510
25,8,2020,11.7,HSG,11.85,11.9,11.65,7105380
24,8,2020,11.8,HSG,11.9,11.95,11.7,8875930
21,8,2020,11.65,HSG,11.5,11.65,11.45,5933020
20,8,2020,11.5,HSG,11.55,11.65,11.35,10292630
19,8,2020,11.55,HSG,11.6,11.75,11.55,6782910
18,8,2020,11.6,HSG,11.4,11.8,11.3,10645530
17,8,2020,11.35,HSG,11.1,11.4,11.05,6633300
14,8,2020,11.2,HSG,11.35,11.45,11.1,8767020
13,8,2020,11.4,HSG,11.35,11.5,11.3,5864520
12,8,2020,11.25,HSG,11.45,11.5,11.1,9256530
11,8,2020,11.4,HSG,11.4,11.5,11.2,9674580
10,8,2020,11.4,HSG,11.4,11.6,11.2,12569110
7,8,2020,11.2,HSG,10.8,11.2,10.65,13757550
6,8,2020,10.7,HSG,10.55,10.8,10.45,10260090
5,8,2020,10.65,HSG,10.35,10.9,10.2,11309920
4,8,2020,10.35,HSG,10.4,10.7,10.25,9523190
3,8,2020,10.15,HSG,9.6,10.15,9.6,13791500
31,7,2020,9.5,HSG,9.63,9.99,9.5,8739140
30,7,2020,9.93,HSG,9.85,10.25,9.85,5831280
29,7,2020,9.83,HSG,10.1,10.1,9.68,14057290
28,7,2020,10.4,HSG,9.85,10.4,9.78,15105730
27,7,2020,9.72,HSG,10.1,10.3,9.72,13738870
24,7,2020,10.45,HSG,10.8,10.95,10.25,18170280
23,7,2020,11,HSG,11.1,11.25,10.85,7887400
22,7,2020,11.2,HSG,11.4,11.45,11.2,3555300
21,7,2020,11.35,HSG,11.35,11.45,11,7859700
20,7,2020,11.2,HSG,11.6,11.7,11.1,10655450
17,7,2020,11.55,HSG,11.5,11.8,11.45,6206290
16,7,2020,11.5,HSG,11.7,11.75,11.4,10415740
15,7,2020,11.7,HSG,11.85,12,11.7,5772180
14,7,2020,11.8,HSG,11.8,11.9,11.75,4285000
13,7,2020,11.85,HSG,11.9,12,11.75,8716400
10,7,2020,11.75,HSG,11.65,12,11.55,6647730
9,7,2020,11.7,HSG,11.65,11.85,11.6,5795310
8,7,2020,11.6,HSG,11.8,11.9,11.45,10434340
7,7,2020,11.8,HSG,12,12.2,11.8,14028220
6,7,2020,11.9,HSG,11.9,12.1,11.85,6007690
3,7,2020,11.85,HSG,11.75,12.2,11.7,9690680
